id,authors,year,title,venue,doi,domain,member,output,mechanism,justification,clash,dim,obstacles,validation,n_cases,claim,limitation,relevance,gap_note,verified,url
widjaja2024col,"Widjaja, Rachmawati, Kim",2024,A BIM-based intelligent approach to rebar layout optimization for reinforced concrete columns,Journal of Building Engineering,,RC,column,P,OPT,CODE,NONE,3D,none,case,,기둥 배근 최적화; 물량 절감,,3,규칙·최적화 계열,search,https://www.sciencedirect.com/science/article/pii/S2352710224031723
liang2000stm,"Liang, Xie, Steven",2000,Topology Optimization of Strut-and-Tie Models in Reinforced Concrete Structures Using an Evolutionary Procedure,ACI Structural Journal,,RC,member,P,OPT,MECH,NONE,2D,none,example,,진화적 위상최적화로 STM 자동 생성,시공성·상세 미고려,5,***위치를 역학으로 정당화 칸을 차지***,recall,
strut2009,(저자 확인 필요),2009,Generating strut-and-tie patterns for reinforced concrete structures using topology optimization,Computers and Structures,,RC,member,P,OPT,MECH,NONE,2D,none,example,,위상최적화로 STM 패턴 생성,,5,같은 칸,recall,
xia2020critical,Xia et al.,2020,A critical evaluation of topology optimization results for strut-and-tie modeling of reinforced concrete,Computer-Aided Civil and Infrastructure Engineering,,RC,member,P,OPT,MECH,NONE,2D,none,review,,위상최적화 STM 결과의 비판적 평가,,5,같은 칸의 비판적 검토,recall,
hoffmann2023stress,Hoffmann et al.,2023,Reinforcement detail: Stress trajectory-oriented corbel reinforcement,Structural Concrete,,RC,corbel,P,RULE,MECH,NONE,2D,none,experiment,,주응력 궤적을 따라 배근; 같은 내력에 강재 절감·연성 증가,국부 부재 한정,5,역학이 위치를 정하는 직접 선례,search,https://onlinelibrary.wiley.com/doi/full/10.1002/suco.202200920
matlayout2022,(저자 확인 필요),2022,Strength-based material layout optimization of solid reinforced concrete,Computers and Structures,,RC,member,P,OPT,MECH,NONE,2D/3D,none,example,,강도 기반 재료 배치 최적화,연속 재료장; 이산 철근 아님,5,양자화(P3) 가 빈 지점,search,https://www.sciencedirect.com/science/article/pii/S0045794922002012
damage_truss,(저자 확인 필요),2013,Reinforcement layout design for concrete structures based on continuum damage and truss topology optimization,(확인 필요),,RC,member,P,OPT,MECH,NONE,2D,none,example,,손상+트러스 위상최적화로 배근 설계,,4,같은 칸,search,https://www.researchgate.net/publication/257335116
du1999cvt,"Du, Faber, Gunzburger",1999,Centroidal Voronoi tessellations: applications and algorithms,SIAM Review,,METHOD,-,P,OPT,NONE,NONE,nD,none,theory,,밀도함수에 비례하는 점분포와 Lloyd 반복의 이론,배근 도메인 아님,5,A.2 해법의 출처,recall,
lloyd_conv,(저자 확인 필요),2014,Pointwise convergence of the Lloyd algorithm in higher dimension,arXiv,,METHOD,-,P,OPT,NONE,NONE,nD,none,theory,,Lloyd 반복의 수렴성,,4,P6 수렴성 근거 후보,recall,
semiot2021,(저자 확인 필요),2021,Higher-dimensional power diagrams for semi-discrete optimal transport,arXiv,,METHOD,-,P,OPT,NONE,NONE,nD,none,theory,,반이산 최적수송의 power diagram,,4,A.2.3 측도근사의 해법,recall,
kloft2020,Kloft et al.,2020,Reinforcement strategies for 3D-concrete-printing,Civil Engineering Design,,RC,printed,R,RULE,NONE,NONE,3D,none,review,,3D 프린팅 보강 전략 개관,,3,인접 분야,search,https://onlinelibrary.wiley.com/doi/full/10.1002/cend.202000022
bim3dp2024,(저자 확인 필요),2024,A BIM-enabled robot control system for automated integration between rebar reinforcement and 3D concrete printing,Virtual and Physical Prototyping,,RC,printed,R,RULE,NONE,CONSTR,3D,rebar,case,,무간섭 프린팅 경로와 철근 설치 동기화,,3,인접 분야,search,https://www.tandfonline.com/doi/full/10.1080/17452759.2024.2332423
kr_wall_auto,(저자 확인 필요),2015,벽체 철근배근도 작성 자동화 시스템 개발,대한건축학회연합논문집,,RC,wall,P,RULE,CODE,NONE,2D,none,case,,벽체 배근도 작성 자동화,,3,국내 규칙 계열,search,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001983779
kr_std_auto,(저자 확인 필요),2013,표준화된 철근배근도 작성 자동화를 위한 필요 사항에 관한 연구,(KCI),,RC,-,P,RULE,CODE,NONE,2D,none,none,,배근도 자동화 요건 정리,,2,국내 규칙 계열,search,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001751862
kr_loss_opt,(저자 확인 필요),,철근 손율을 줄이기 위한 최적화 알고리즘 개발에 관한 연구,대한건축학회 논문집,,RC,-,Q,OPT,NONE,NONE,-,none,case,,철근 손율 최소화 조합 최적화,배치가 아니라 물량,2,물량 계열,search,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE00358879
rimon1992,Rimon & Koditschek,1992,Exact robot navigation using artificial potential functions,IEEE Transactions on Robotics and Automation,,ROBOT,-,R,FIELD,NONE,NONE,2D/3D,generic,theory,,navigation function 의 critical point 구조,배근 도메인 아님,4,4.3 채터링의 이론적 배경,search,
kim1991,Kim & Khosla,1991,(제목 확인 필요),(확인 필요),,ROBOT,-,R,FIELD,NONE,NONE,2D,generic,theory,,조화함수 포텐셜에는 국소최소가 없음,배근 도메인 아님,3,4.3 의 이론적 배경,recall,
constr_topopt,(저자 확인 필요),,Optimizing Reinforcement Layout in Concrete Design Considering Constructability,(확인 필요),,RC,member,P,OPT,MECH,CONSTR,2D,none,example,,위상최적화 배근에 시공성을 함께 고려,,5,***마지막 빈 칸을 위협한다 — 전문 확인 최우선***,search,https://www.academia.edu/29152946/Optimizing_Reinforcement_Layout_in_Concrete_Design_Considering_Constructability
constr_in_topopt,(저자 확인 필요),,Considering Constructability in Structural Topology Optimization,(확인 필요),,GEN,-,P,OPT,MECH,NONE,2D,none,example,,위상최적화에 시공성 제약 도입,철근 상세 아님,4,같은 위협,search,https://www.researchgate.net/publication/269198326
detailing_slab,(저자 확인 필요),2016,Optimized Reinforcement Detailing Design for Sustainable Construction: Slab Case Study,(확인 필요),,RC,slab,P,OPT,CODE,NONE,2D,none,case,,배근 상세 최적화(지름·간격·정착),역학 목적함수 아님,3,상세 최적화 계열,search,https://www.researchgate.net/publication/303391933
kr_deck_slab,(저자 확인 필요),,데크플레이트 슬래브 배근 자동화 (RISS 학위논문),RISS 학위논문,,RC,slab,P,RULE,CODE,NONE,2D,none,case,,방향별 배근·물량을 시공성 고려해 자동화,,3,국내 학위논문 — 상세 확인 필요,search,https://m.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=71e6a73324a9f3b9ffe0bdc3ef48d419
